"WAP1","WAP2","WAP3","WAP4","WAP5","WAP6","WAP7","WAP8","WAP9","WAP10","WAP11","WAP12","WAP13","WAP14","WAP15","WAP16","WAP17","WAP18","WAP19","WAP20","WAP21","WAP22","WAP23","WAP24","WAP25","WAP26","WAP27","WAP28","WAP29","WAP30","WAP31","WAP32","WAP33","WAP34","WAP35","WAP36","WAP37","WAP38","WAP39","WAP40","WAP41","WAP42","WAP43","WAP44","WAP45","WAP46","WAP47","WAP48","WAP49","WAP50","WAP51","WAP52","WAP53","WAP54","WAP55","WAP56","WAP57","WAP58","WAP59","WAP60","WAP61","WAP62","WAP63","WAP64","WAP65","WAP66","WAP67","WAP68","WAP69","WAP70","WAP71","WAP72","WAP73","WAP74","WAP75","WAP76","WAP77","WAP78","WAP79","WAP80","WAP81","WAP82","WAP83","WAP84","WAP85","WAP86","WAP87","WAP88","WAP89","WAP90","WAP91","WAP92","WAP93","WAP94","WAP95","WAP96","WAP97","WAP98","WAP99","WAP100","WAP101","WAP102","WAP103","WAP104","WAP105","WAP106","WAP107","WAP108","WAP109","WAP110","WAP111","WAP112","WAP113","WAP114","WAP115","WAP116","WAP117","WAP118","WAP119","WAP120","WAP121","WAP122","WAP123","WAP124","WAP125","WAP126","WAP127","WAP128","WAP129","WAP130","WAP131","WAP132","WAP133","WAP134","WAP135","WAP136","WAP137","WAP138","WAP139","WAP140","WAP141","WAP142","WAP143","WAP144","WAP145","WAP146","WAP147","WAP148","WAP149","WAP150","WAP151","WAP152","WAP153","WAP154","WAP155","WAP156","WAP157","WAP158","WAP159","WAP160","WAP161","WAP162","LONGITUDE","LATITUDE"
-78,-64,-67,-64,-61,-81,-80,-71,-78,-77,-82,100,100,-72,-77,-82,-86,-70,-70,-75,-84,-83,100,-80,100,100,100,-87,-87,-82,100,-72,-76,-56,-87,100,-91,-90,100,100,-84,-84,-90,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,0
-79,-67,-70,-64,-63,-78,-78,-69,-79,-79,-76,100,100,-68,-79,-82,-83,-70,-69,-73,-79,-83,100,-82,100,100,100,-83,100,-82,100,-72,-81,-56,-83,100,-91,-91,100,100,-81,-81,-87,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,0
-79,-68,-73,-63,-63,-76,-77,-69,-78,-78,-80,100,100,-68,-79,-82,-87,-70,-71,-72,-80,-83,100,-83,100,100,100,-84,100,-82,100,-72,-78,-53,-84,100,-91,-92,100,100,-83,-83,-87,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,0
-79,-67,-76,-61,-62,-82,-80,-70,-80,-81,-80,100,100,-72,100,100,-88,-68,-68,-76,-79,100,100,-83,100,100,100,-82,100,100,100,100,-78,-53,-83,100,-91,-92,100,100,-82,-82,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,0
-81,-67,-73,-63,-59,-75,-76,-69,-74,-74,-80,100,100,-68,-75,100,-88,-66,-66,-74,-79,100,100,-83,100,100,100,-85,100,-77,100,-77,100,100,-84,100,-90,-91,100,-86,-83,-83,-88,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,0
-77,-62,-85,-61,-57,-64,-66,-59,-79,-79,-77,100,100,-65,100,100,100,-64,-64,-80,-86,100,100,-83,-82,100,100,-88,-81,-75,100,-88,-75,-56,-88,100,-90,-91,100,-86,-68,-68,-85,-88,-84,100,-83,-81,100,100,100,100,100,100,100,-86,100,100,100,100,-86,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,0
-77,-61,-65,-59,-59,-64,-66,-62,-78,-78,-76,-90,-90,-67,-71,100,100,-63,-63,-87,-86,100,100,-84,-82,100,100,-88,-81,100,-71,100,-75,-52,-88,100,-90,-91,100,-86,-78,-73,-83,-86,-83,100,-83,-81,100,100,100,100,100,100,100,-86,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,0
-76,-59,-68,-60,-61,-70,-66,-59,-77,-78,-76,-90,-92,-66,-73,100,100,-63,-63,-78,-80,100,100,-83,-82,100,100,-88,-81,100,-71,100,-78,-52,-88,100,-90,-90,100,-86,-68,-68,-84,-87,-84,100,-83,-85,100,-87,100,100,100,100,100,-87,100,100,100,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,0
-74,-61,-61,-60,-59,-70,100,-62,-78,-78,-73,-91,-91,-66,-73,-86,100,-64,-63,-77,-84,-83,100,-83,100,100,100,100,100,100,100,100,-71,100,100,100,-87,-88,100,100,-70,-69,-85,-88,-85,100,100,-85,100,-87,100,100,100,100,100,-88,100,100,100,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,0
-76,-59,-59,-64,-59,-70,100,-66,-78,-78,-76,-91,-91,-68,-73,-86,-88,-61,-61,-82,-80,-83,100,-83,100,100,100,100,100,-77,100,100,-73,100,100,100,-90,-89,100,100,-69,-69,-84,-86,-84,100,100,-82,100,100,100,100,100,100,100,-86,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,0
