"WAP1","WAP2","WAP3","WAP4","WAP5","WAP6","WAP7","WAP8","WAP9","WAP10","WAP11","WAP12","WAP13","WAP14","WAP15","WAP16","WAP17","WAP18","WAP19","WAP20","WAP21","WAP22","WAP23","WAP24","WAP25","WAP26","WAP27","WAP28","WAP29","WAP30","WAP31","WAP32","WAP33","WAP34","WAP35","WAP36","WAP37","WAP38","WAP39","WAP40","WAP41","WAP42","WAP43","WAP44","WAP45","WAP46","WAP47","WAP48","WAP49","WAP50","WAP51","WAP52","WAP53","WAP54","WAP55","WAP56","WAP57","WAP58","WAP59","WAP60","WAP61","WAP62","WAP63","WAP64","WAP65","WAP66","WAP67","WAP68","WAP69","WAP70","WAP71","WAP72","WAP73","WAP74","WAP75","WAP76","WAP77","WAP78","WAP79","WAP80","WAP81","WAP82","WAP83","WAP84","WAP85","WAP86","WAP87","WAP88","WAP89","WAP90","WAP91","WAP92","WAP93","WAP94","WAP95","WAP96","WAP97","WAP98","WAP99","WAP100","WAP101","WAP102","WAP103","WAP104","WAP105","WAP106","WAP107","WAP108","WAP109","WAP110","WAP111","WAP112","WAP113","WAP114","WAP115","WAP116","WAP117","WAP118","WAP119","WAP120","WAP121","WAP122","WAP123","WAP124","WAP125","WAP126","WAP127","WAP128","WAP129","WAP130","WAP131","WAP132","WAP133","WAP134","WAP135","WAP136","WAP137","WAP138","WAP139","WAP140","WAP141","WAP142","WAP143","WAP144","WAP145","WAP146","WAP147","WAP148","WAP149","WAP150","WAP151","WAP152","WAP153","WAP154","WAP155","WAP156","WAP157","WAP158","WAP159","WAP160","WAP161","WAP162","WAP163","WAP164","WAP165","WAP166","WAP167","WAP168","LONGITUDE","LATITUDE","FLOOR","BUILDINGID","SPACEID","RELATIVEPOSITION","USERID","PHONEID","TIMESTAMP"
100,100,100,100,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-63,-64,-66,-66,100,100,100,-73,-80,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-73,-68,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,100,100,100,100,100,100,100,-89,-89,-70,-70,-82,-82,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,0.4,0,0,0,1,0,1,0,1475597244
100,100,100,100,100,100,-62,100,100,100,100,100,100,100,-89,100,100,100,100,100,-83,-83,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,-61,-61,-64,-64,100,100,-74,-73,-79,100,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-75,-67,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-83,-82,-83,100,100,100,100,100,-83,-83,-89,-89,-71,-71,-79,-79,100,100,100,100,100,100,100,100,100,100,100,-84,-89,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,0.4,0,0,0,1,0,1,0,1475597248
100,100,100,100,-84,100,-55,100,100,100,100,100,100,100,-88,100,100,100,100,100,-88,-83,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,-62,-62,-69,-70,100,100,-76,-76,-82,100,-81,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,-75,-80,-71,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-91,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,-84,-83,-84,-85,100,100,100,100,100,-83,-83,100,100,-72,-72,-84,-84,100,100,100,100,100,100,100,100,100,100,100,-86,-87,100,100,-88,100,-87,100,100,100,100,100,100,100,100,100,0.4,0,0,0,1,0,1,0,1475597252
100,100,100,100,-81,100,-59,100,100,100,100,100,100,100,-88,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-71,-70,-74,-74,100,100,-76,-83,-83,100,-83,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,-83,-80,-69,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-90,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,-82,-84,-85,-85,100,100,100,100,100,100,-89,100,100,-77,-77,-84,-84,100,100,100,100,100,100,100,100,100,100,100,-89,-87,100,100,-91,100,-87,100,100,100,100,100,100,100,100,100,0.4,0,0,0,1,0,1,0,1475597256
100,100,100,100,-73,100,-54,100,100,100,100,100,100,100,-87,100,100,100,100,100,-86,100,100,100,100,100,100,-87,100,100,-88,100,100,100,100,100,-61,-61,-70,-70,100,100,100,100,-78,100,-78,100,100,100,100,100,100,100,-88,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-88,100,100,100,100,100,-89,100,-89,100,100,100,100,100,100,-84,-84,-90,-90,100,100,100,100,-80,-80,-79,-79,100,100,100,100,100,100,100,100,-88,-76,-76,-81,-82,100,100,100,100,100,100,100,100,100,100,100,-78,-75,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,2.39,0,0,0,2,0,1,0,1475597275
100,100,100,100,-84,100,-58,100,100,100,100,100,100,100,-87,100,100,100,100,100,-86,100,100,100,100,100,100,-87,-90,100,-88,100,100,100,100,100,-65,-65,-68,-68,100,100,100,100,-77,100,-77,100,100,100,100,100,100,100,-88,-88,100,100,100,100,100,100,100,100,100,100,100,-72,-72,-67,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-85,-88,-88,100,100,100,100,100,-89,100,-89,100,100,100,100,100,100,-84,-84,-90,-90,100,100,100,100,-80,-80,-83,-82,100,100,100,100,100,-82,100,100,-88,-72,-76,-81,-82,100,100,100,100,100,100,100,100,100,100,100,-82,-75,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,2.39,0,0,0,2,0,1,0,1475597279
-89,100,100,100,-87,100,-58,100,100,100,100,100,100,100,-87,100,100,100,100,100,-86,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,-61,-61,-69,-69,100,100,100,100,-76,100,-77,100,100,100,100,100,100,100,-88,-88,100,100,100,100,100,100,100,100,100,100,100,-75,-76,-69,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-84,100,100,100,100,100,100,-86,-84,-82,-83,100,100,100,100,100,-82,-86,100,100,-69,-69,-83,-83,100,100,100,100,100,100,100,100,100,100,100,-77,-81,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,2.39,0,0,0,2,0,1,0,1475597283
-88,100,100,100,-78,100,-51,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,-89,100,100,100,-87,-85,-90,-90,100,100,100,100,100,100,-64,-61,-73,-73,100,100,-78,-77,-78,100,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-76,-73,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-85,100,100,100,100,100,100,-75,-75,-83,-83,100,100,100,100,100,100,-86,100,100,-70,-70,-81,-81,100,100,100,100,100,100,100,100,100,100,100,-85,-88,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,2.39,0,0,0,2,0,1,0,1475597287
-87,100,100,100,-79,100,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-65,-64,-66,100,100,-71,-72,-77,100,-77,100,100,100,100,100,100,100,-87,-87,100,100,100,100,100,100,100,100,100,100,100,-73,-73,-70,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-79,-88,-88,100,100,100,100,100,100,-83,-84,100,100,100,100,100,100,100,-88,-87,-70,-69,-79,-78,100,100,100,100,100,100,100,100,100,100,100,-67,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,2.18,0,0,3,0,1,0,1475597333
-76,100,100,100,-79,100,-56,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,100,100,100,100,-82,-82,-89,-88,-89,-89,100,100,100,100,-62,-62,-62,-64,100,100,-73,-73,-80,100,-80,100,100,100,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,100,100,100,-69,-70,-77,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,-88,-90,100,100,100,100,100,100,100,100,100,100,-84,-79,-90,-89,100,100,100,100,-80,-80,-79,-79,100,-89,100,100,100,-82,-81,-88,-87,-64,-64,-79,-79,100,100,100,100,100,100,100,100,100,100,100,-71,-66,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,1.4,2.18,0,0,3,0,1,0,1475597336
-76,100,100,100,100,100,-54,100,100,100,100,100,100,100,-90,100,100,100,100,100,-84,-84,100,100,100,100,-82,-82,-89,-88,-89,-89,100,100,100,100,-53,-53,-66,-70,100,100,-76,-76,-80,100,-80,100,100,100,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,100,100,100,-76,-76,-76,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,-88,-90,100,100,100,100,100,100,100,100,100,100,-83,100,-90,-89,100,100,100,100,-80,-77,-84,-84,100,-88,100,100,100,-85,-85,100,100,-73,-72,-85,-85,100,100,100,100,100,100,100,100,100,100,100,-68,-63,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,1.4,2.18,0,0,3,0,1,0,1475597340
100,100,100,100,-79,100,-54,100,100,100,100,100,100,100,-90,100,100,100,100,100,-84,-84,-86,-87,100,100,100,100,100,-90,100,100,100,100,100,100,-60,-60,-64,-64,100,100,-81,-81,-77,100,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-76,-66,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,100,-78,-78,-84,-84,-88,-87,100,100,100,-85,-88,100,100,-72,-72,-80,-79,100,100,100,100,100,100,100,100,100,100,100,-78,-73,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,1.4,2.18,0,0,3,0,1,0,1475597344
100,100,100,100,100,100,-66,100,100,100,100,100,100,100,-85,100,100,100,100,100,-80,-79,100,100,100,100,-83,-82,-84,-84,100,100,100,100,100,100,-51,-51,-57,-63,100,100,-72,-72,-75,100,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-61,100,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-84,-86,-85,100,100,100,100,100,-90,100,-90,100,100,100,100,100,100,100,100,-88,-88,100,100,100,100,-84,-84,-86,-85,100,100,100,100,100,-80,-79,-83,-83,-66,-66,-84,-84,100,100,100,100,100,100,100,100,100,100,100,-61,-72,100,100,-73,100,100,100,100,100,100,100,100,100,100,100,1.4,5.62,0,0,7,0,1,0,1475597360
100,100,100,100,100,100,-68,100,100,100,100,100,100,100,-89,100,100,100,100,100,-80,-79,-88,-87,100,100,-83,-82,-88,-88,100,100,100,100,100,100,-50,-50,-54,-54,100,100,-76,-76,-75,100,-75,100,-88,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-68,-67,-66,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-84,-86,-85,100,100,100,100,100,-90,100,-90,100,100,100,100,100,100,100,100,-86,-86,100,100,100,100,-84,-84,-84,-84,100,100,100,100,100,-80,-82,-83,-83,-66,-66,-81,-82,100,100,100,100,100,100,100,100,100,100,100,-69,-64,100,100,-73,100,100,100,100,100,100,100,100,100,100,100,1.4,5.62,0,0,7,0,1,0,1475597363
100,100,100,100,-87,100,-61,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,-88,-87,100,100,100,100,-90,-90,100,100,100,100,100,100,-50,-50,-57,-68,100,100,-70,-70,-78,100,-79,100,-88,-85,100,100,100,100,-86,-87,100,100,100,100,100,100,100,100,100,100,100,-67,-67,-74,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,-74,-74,-86,-86,100,100,100,100,100,100,-87,-87,100,100,100,100,100,100,-82,100,100,-70,-69,-73,-73,100,100,100,100,100,100,100,100,100,100,100,-59,-72,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,1.4,5.62,0,0,7,0,1,0,1475597367
100,100,100,100,-85,100,-55,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,-87,-85,100,100,-83,100,-92,-90,-88,-87,100,100,100,100,-57,-58,-55,-68,100,100,-75,-76,-81,100,-82,100,100,100,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,-82,-67,-70,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-81,-88,-87,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,-79,-74,-90,-89,100,100,100,100,100,100,-89,-89,100,100,100,100,100,100,100,-85,-84,-66,-66,-74,-74,100,100,100,100,100,100,100,100,100,100,100,-78,-68,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,1.4,5.62,0,0,7,0,1,0,1475597372
100,100,100,100,100,100,-67,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,-78,-88,-88,100,100,-81,-81,-88,-88,100,100,100,100,100,100,-59,-59,-59,-60,100,100,-65,-65,-73,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-85,100,100,100,100,-61,-62,-62,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-78,-84,-84,100,100,100,100,-79,100,100,100,-86,-85,100,100,100,-78,-80,-87,-88,-70,-69,-81,-82,100,100,100,100,100,100,100,100,100,100,100,-67,-66,100,100,-74,100,100,100,100,100,100,100,100,100,100,100,2.39,6.81,0,0,10,0,1,0,1475597386
100,100,100,100,100,100,-66,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,-78,-88,-89,100,100,-81,-81,-88,-88,100,100,100,100,100,100,-56,-56,-57,-64,100,100,-66,-66,-74,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-85,100,100,100,100,-68,-68,-64,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-88,100,100,100,100,100,-88,100,-88,100,100,100,100,100,100,-82,-78,-84,-83,100,100,100,100,-79,-79,-85,-85,-86,-85,100,100,100,-78,-78,-86,-86,-72,-73,-81,-80,100,100,100,100,100,100,100,100,100,100,100,-68,-68,100,100,-75,100,100,100,100,100,100,100,100,100,-87,100,2.39,6.81,0,0,10,0,1,0,1475597390
100,100,100,100,-85,100,-67,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,-89,100,100,100,100,-86,-86,100,100,100,100,100,100,-53,-53,-56,-60,100,100,-70,-70,-78,100,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-64,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-88,100,100,100,100,100,-88,100,-88,100,100,100,100,100,100,-76,-77,-86,-86,100,100,100,100,-79,-79,-85,-85,100,100,100,100,100,-78,-78,-86,-86,-72,-71,-83,-83,100,100,100,100,100,100,100,100,100,100,100,-64,-71,100,100,-76,100,100,100,100,100,100,100,100,100,-87,100,2.39,6.81,0,0,10,0,1,0,1475597394
