"WAP1","WAP2","WAP3","WAP4","LONGITUDE","LATITUDE","FLOOR","BUILDINGID","SPACEID","RELATIVEPOSITION","USERID","PHONEID","TIMESTAMP" 
-30, -70, -60, -72, 1,    1,    0,0,0,0,0,0,0
-32, -65, -62, -74, 1.1,  0.95, 0,0,0,0,0,0,0
-38, -73, -50, -78, 1.05, 0.95, 0,0,0,0,0,0,0
-50, -30, -40, -60, 1,    3,    0,0,0,0,0,0,0
-52, -34, -40, -60, 1.1,  3.05, 0,0,0,0,0,0,0
-52, -32, -40, -60, 0.95, 3.02, 0,0,0,0,0,0,0
-37, -60, -25, -65, 2,    1,    0,0,0,0,0,0,0
-33, -63, -21, -68, 2.02, 1.02, 0,0,0,0,0,0,0
-35, -61, -28, -65, 1.98, 1.04, 0,0,0,0,0,0,0
-70, -40, -30, -25, 4,    3,    0,0,0,0,0,0,0
-72, -41, -30, -22, 3.95, 2.96, 0,0,0,0,0,0,0
-74, -42, -30, -28, 4.06, 3.05, 0,0,0,0,0,0,0
-80, -60, -40, -30, 4,    1,    0,0,0,0,0,0,0
-76, -62, -40, -30, 4.07, 1.05, 0,0,0,0,0,0,0
-82, -61, -40, -30, 3.94, 1.02, 0,0,0,0,0,0,0
-75, -35, -25, -60, 1,    4,    0,0,0,0,0,0,0
-77, -31, -21, -60, 1.05, 4.04, 0,0,0,0,0,0,0
-71, -38, -27, -60, 0.92, 4.02, 0,0,0,0,0,0,0
-80, -25, -20, -50, 2.5,  4,    0,0,0,0,0,0,0
-78, -27, -22, -50, 2.7,  4.03, 0,0,0,0,0,0,0
-85, -23, -24, -50, 2.2,  3.98, 0,0,0,0,0,0,0
-85, -60, -40, -20, 4.5,  2.5,  0,0,0,0,0,0,0
-81, -63, -40, -20, 4.7,  2.6,  0,0,0,0,0,0,0
-86, -62, -40, -20, 4.1,  2.2,  0,0,0,0,0,0,0
-60, -50, -25, -55, 2.5,  3,    0,0,0,0,0,0,0
-57, -54, -21, -51, 2.8,  3.05, 0,0,0,0,0,0,0
-64, -53, -27, -58, 2.1,  3.02, 0,0,0,0,0,0,0
-35, -70, -45, -80, 1.5,  1,    0,0,0,0,0,0,0
-37, -72, -47, -80, 1.8,  0.95, 0,0,0,0,0,0,0
-31, -71, -42, -80, 1.2,  1.1,  0,0,0,0,0,0,0
