"WAP1","WAP2","WAP3","WAP4","LONGITUDE","LATITUDE","FLOOR","BUILDINGID","SPACEID","RELATIVEPOSITION","USERID","PHONEID","TIMESTAMP" 
-30, -70, -60, -72, 1,    1,    0,0,0,0,0,0,0
-50, -30, -40, -60, 1,    3,    0,0,0,0,0,0,0
-37, -60, -25, -65, 2,    1,    0,0,0,0,0,0,0
-70, -40, -30, -25, 4,    3,    0,0,0,0,0,0,0
-80, -60, -40, -30, 4,    1,    0,0,0,0,0,0,0
-75, -35, -25, -60, 1,    4,    0,0,0,0,0,0,0
-80, -25, -20, -50, 2.5,  4,    0,0,0,0,0,0,0
-85, -60, -40, -20, 4.5,  2.5,  0,0,0,0,0,0,0
-60, -50, -25, -55, 2.5,  3,    0,0,0,0,0,0,0
-35, -70, -45, -80, 1.5,  1,    0,0,0,0,0,0,0
